Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
COTTO,SCG CERAMICS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,
CPALL,CP ALL PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,1,1
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,1,1
CPH,CASTLE PEAK HOLDINGS PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
CPI,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,ZNOT,AGRI,,
CPI-W1,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,ZNOT,AGRI,,
CPL,C.P.L. GROUP PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Construction,PROP,1,1
CPNCG,CPN COMMERCIAL GROWTH LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CPNREIT,CPN RETAIL GROWTH LEASEHOLD REIT,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CPNRF,CPN RETAIL GROWTH LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CPR,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CPT,CPT DRIVES AND POWER PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,ZNOT,IMM,,
CPTGF,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
CRANE,CHU KAI PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CRANE-W1,CHU KAI PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
CRD,ZIGA INNOVATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
