Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
LH-W3,LAND AND HOUSES PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
LIT,LEASE IT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
LIT-W1,LEASE IT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
LIVE,LIVE INCORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
LIVE-W1,LIVE INCORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
LIVE-W2,LIVE INCORPORATION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
LL,LIVING LAND CAPITAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
LL-W1,LIVING LAND CAPITAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
LOXLEY,LOXLEY PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
LOXLEY-W,LOXLEY PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
LPH,LADPRAO GENERAL HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,HELTH,,
LPN,L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
LRH,LAGUNA RESORTS & HOTELS PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
LST,LAM SOON (THAILAND) PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
LTX,LUCKYTEX (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
LUXF,LUXURY REAL ESTATE INVESTMENT FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
LVT,L.V. TECHNOLOGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
LVT-W3,L.V. TECHNOLOGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
M,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
M-AAA,MFC Amazing A-la Andaman Property Fund,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MACO,MASTER AD PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MACO-W1,MASTER AD PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MACO-W2,MASTER AD PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MAJOR,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,1
MAKRO,SIAM MAKRO PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
MALEE,MALEE SAMPRAN PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
MANRIN,THE MANDARIN HOTEL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
MATCH,MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
MATCH-W2,MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
MATI,MATICHON PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
MAX,MAX METAL CORPORATION PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MAX-W2,MAX METAL CORPORATION PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MAX-W3,MAX METAL CORPORATION PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MBAX,MULTIBAX PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MBAX-W1,MULTIBAX PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MBK,MBK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,1
MBKET,MAYBANK KIM ENG SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
MC,MC GROUP PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
M-CHAI,MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,ZNOT,HELTH,,
MCOT,MCOT PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,
MCS,M.C.S.STEEL PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MDX,M.D.X. PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
MEGA,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,1
META,META CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
META-W2,META CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
META-W3,META CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
META-W4,META CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
METCO,MURAMOTO ELECTRON (THAILAND) PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
METRO,METROSTAR PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
MFC,MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,
MFC-W1,MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,
MFEC,MFEC PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
MGT,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MIDA,MIDA ASSETS PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
MIDA-W2,MIDA ASSETS PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
M-II,MFC INDUSTRIAL INVESTMENT PROPERTY AND LEASEHOLD FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MILL,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MILL-W1,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MILL-W2,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MILL-W3,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MILL-W4,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MILL-W5,MILL CON STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,1,1
MINT-W4,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
MINT-W5,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
MINT-W6,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
MIPF,MILLIONAIRE PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MIT,MFC INDUSTRIAL REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MITSIB,MITSIB LEASING PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MJD,MAJOR DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
MJD-W1,MAJOR DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
MJLF,MAJOR CINEPLEX LIFESTYLE LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MK,M.K. REAL ESTATE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
ML,"MIDA LEASING PUBLIC CO., LTD.",SET,Financials,Finance and Securities,Leasing,FIN,,
MLINK,M-LINK ASIA CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
MLINK-W1,M-LINK ASIA CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,,
ML-W2,"MIDA LEASING PUBLIC CO., LTD.",SET,Financials,Finance and Securities,Leasing,FIN,,
MM,MUDMAN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MME,MIDA-MEDALIST ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,ZNOT,TOURISM,,
MME-W2,MIDA-MEDALIST ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,ZNOT,TOURISM,,
MNIT,MFC-NICHADA THANI PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MNIT2,NICHADA THANI PROPERTY FUND 2,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MNRF,MULTI-NATIONAL RESIDENCE FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MODERN,MODERNFORM GROUP PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,HomeOffice,HOME,,
MONO,MONO TECHNOLOGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MONO-W1,MONO TECHNOLOGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MONTRI,101 MONTRI STORAGE PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MOONG,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MOONG-W1,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MORE,MORE RETURN PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
M-PAT,MFC PATONG HERITAGE PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
MPG,MANGPONG 1989 PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MPG-W1,MANGPONG 1989 PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
MPIC,M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
MSC,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ZNOT,ICT,,
MSPF,MERCURE SAMUI PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
M-STOR,MFC-STRATEGIC STORAGE FUND,SET,Property & Construction,Property Fund,ZNOT,ZNOT,,
MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,1,1
MTI,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,Insurance,INSUR,,
MTLS,MUANGTHAI LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
MVP,M VISION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NBC,NATION BROADCASTING CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NBC-W1,NATION BROADCASTING CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NC,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
NCH,N. C. HOUSING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NCL,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NCL-W1,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NCL-W2,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NCL-W3,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NDR,N.D. RUBBER PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NDR-W1,N.D. RUBBER PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEP,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NEP-W2,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,ZNOT,PKG,,
NEP-W3,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,ZNOT,PKG,,
NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,Agribusiness,AGRI,,
NETBAY,NETBAY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEW,WATTANA KARNPAET PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,HELTH,,
NEWS,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEWS-W2,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEWS-W3,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEWS-W4,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEWS-W5,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEWS-W6,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NEX,NEX POINT PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,Electronic,ETRON,,
NFC,NFC PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
NFC-W1,NFC PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
NINE,NATION INTERNATIONAL EDUTAINMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NINE-W1,NATION INTERNATIONAL EDUTAINMENT PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NIPPON,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NIPPON-W,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NKI,THE NAVAKIJ INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,ZNOT,INSUR,,
NMG,NATION MULTIMEDIA GROUP PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,
NMG-W3,NATION MULTIMEDIA GROUP PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,
NNCL,NAVANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Industrial Park,PROP,,
NNCL-W2,NAVANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Industrial Park,PROP,,
NOBLE,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NOK,NOK AIRLINES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,
NOK-W1,NOK AIRLINES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,
NPARK,NATURAL PARK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
N-PARK,NATURAL PARK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
NPARK-W1,NATURAL PARK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
NPK,NEW PLUS KNITTING PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NPP,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPPG,NPPG (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPPG-W3,NPPG (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPPG-W4,NPPG (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPP-W,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPP-W1,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPP-W2,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NPP-W3,NIPPON PACK (THAILAND) PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,Packaging,PKG,,
NSI,NAM SENG INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,ZNOT,INSUR,,
NTV,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,HELTH,,
NUSA,NUSASIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NUSA-W1,NUSASIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NUSA-W2,NUSASIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NUSA-W3,NUSASIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
NVD,NIRVANA DAII PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NVD-W1,NIRVANA DAII PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
NWR,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
NWR-W1,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Construction,PROP,,
NWR-W2,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Construction,PROP,,
NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,Transport,TRANS,,
OCC,O.C.C. PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,ZNOT,PERSON,,
OCEAN,OCEAN COMMERCE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
OCEAN-W1,OCEAN COMMERCE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
OCEAN-W2,OCEAN COMMERCE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
OCEAN-W3,OCEAN COMMERCE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
OFM,OFFICEMATE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,COMM,,
OGC,OCEAN GLASS PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,ZNOT,HOME,,
OHTL,OHTL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,ZNOT,TOURISM,,
OISHI,OISHI GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,1
ORI-W1,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
OSK,OSK SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,FIN,,
OSP,OSOTSPA PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,1,1
OTO,ONE TO ONE CONTACTS PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PACE,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PACE-W1,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PACE-W2,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PAE,PAE (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
PAE-W1,PAE (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
PAF,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED,SET,Industrials,Steel,ZNOT,STEEL,,
PATKL,PATKOL PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,ZNOT,IMM,,
PATO,PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,Petro,PETRO,,
PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,ZNOT,FOOD,,
PCA,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PCSGH,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
PDG,PRODIGY PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PDI,PADAENG INDUSTRY PUBLIC COMPANY LIMITED,SET,Resources,Mining,ZNOT,MINE,,
PDI-W1,PADAENG INDUSTRY PUBLIC COMPANY LIMITED,SET,Resources,Mining,ZNOT,MINE,,
PDJ,PRANDA JEWELRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PDJ-W2,PRANDA JEWELRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PDJ-W3,PRANDA JEWELRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PDJ-W4,PRANDA JEWELRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PE,PREMIER ENTERPRISE PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,FIN,FIN,,
PERM,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
PERM-W1,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED,SET,Industrials,Steel,Steel,STEEL,,
PF,PROPERTY PERFECT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
P-FCB,PRAKIT HOLDINGS PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
PFFUND,PROPERTY PERFECT FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
PF-W2,PROPERTY PERFECT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PF-W3,PROPERTY PERFECT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
PHATRA,PHATRA CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Broker,ZNOT,,
PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PHOL-W1,PHOL DHANYA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PICO,PICO THAILAND PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PIMO,PIONEER MOTOR PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PIMO-W1,PIONEER MOTOR PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PJW,PANJAWATTANA PLASTIC PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PK,PATKOL PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,ZNOT,IMM,,
PL,PHATRA LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,Media,MEDIA,,1
PLANET,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
PLAT,THE PLATINUM GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,PROPERTY,PROP,,
PLE,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
PLE-W2,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Construction,PROP,,
PLE-W3,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Construction,PROP,,
PLUS,P PLUS P PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,ZNOT,,
PL-W1,PHATRA LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
PM,PREMIER MARKETING PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food and Beverage,Food,FOOD,,
